KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K04460,889,1016,1067,934,894,919
K12662,154,194,188,161,199,195
K20791,1288,1622,1598,1275,1270,1378
K11437,358,419,432,221,272,252
K11437,348,410,427,191,310,247
K12948,794,929,865,936,1005,1135
K12489,360,421,465,408,413,433
K12125,3309,3751,3672,2707,2898,2731
K12606,0,0,0,0,0,0
K00106,1794,2127,1689,1541,1668,1723
K09597,1389,1603,1586,1250,1237,1267
K01194,5,13,10,1,5,3
K05001,1118,1453,1318,460,571,554
K00658,2675,3178,2906,2214,2465,2407
K18328,40,43,57,37,41,47
K18328,40,43,51,31,29,35
K18328,43,37,37,49,33,32
K18328,36,51,41,37,28,32
K10875,170,174,166,125,127,129
K11308,308,391,346,243,214,236
K11308,345,356,364,249,244,237
K03128,823,1056,1083,1087,1016,1080
K14801,576,663,680,409,427,436
K10251,1337,1667,1488,1417,1506,1671
K19891,2291,2820,2899,1308,1476,1206
K23887,301,384,303,131,165,158
K23887,166,197,163,85,92,89
K11088,500,634,607,457,409,405
K00940,980,1176,1205,2290,2124,2465
K03549,230,327,336,542,564,636
K14775,210,253,208,157,141,176
K09560,1677,1900,1914,1736,1737,1869
K10755,37,50,39,52,32,40
K10755,38,42,47,69,39,55
K22564,169,163,196,162,132,203
K01595,4578,5266,4170,4717,4798,5357
K00852,497,480,478,231,178,151
K00852,429,498,458,235,186,163
K00852,288,297,293,136,94,96
K03327,215,270,282,253,287,304
K03327,201,281,258,283,297,318
K14568,324,398,447,347,406,369
K02917,4717,5560,5958,5734,5374,6628
K02917,4908,5379,6186,5827,5334,6623
K19787,407,468,474,336,245,313
K10886,138,187,187,149,128,117
K10886,159,202,179,125,134,141
K00677,709,977,848,633,635,599
K14304,533,740,685,709,657,716
K11092,749,759,887,692,693,687
K00627,2820,3514,2969,3133,3155,3570
K01904,1,1,0,4,4,1
K13788,948,1269,1247,821,1137,884
K22382,0,2,2,0,1,0
K10290,407,477,539,282,298,315
K10290,438,460,511,268,302,299
K03386,2618,3019,3114,2452,2405,2263
K03386,2496,2931,3004,2323,2256,2234
K22073,283,321,225,251,229,280
K13120,396,480,504,437,429,441
K06965,224,230,254,153,173,168
K06965,189,228,224,158,194,150
K05349,1097,1336,1266,870,869,977
K05349,1067,1373,1282,839,934,906
K05349,1097,1384,1274,927,918,901
K14313,150,210,202,215,212,242
K14313,169,192,198,242,206,224
K23115,136,175,148,110,115,114
K23115,151,189,194,102,94,102
K23115,135,180,170,96,130,108
K15283,2170,2654,2190,2002,2105,2251
K15283,1974,2355,1971,1813,1916,1972
K10871,190,212,291,205,193,161
